# Mem write profile: 0x06078900-0x06078B67
# pc addr value size cycle
pc=0x0602EF4E addr=0x060789FC val=0xFFFFFE47 sz=4
pc=0x0602D63A addr=0x06078A78 val=0x0 sz=4
pc=0x0602D650 addr=0x0607895C val=0x0 sz=4
pc=0x0602D76C addr=0x06078958 val=0x0 sz=4
pc=0x0602EF92 addr=0x0607895C val=0x0 sz=4
pc=0x0602CF16 addr=0x06078930 val=0xFFFFAAAB sz=4
pc=0x0602CF18 addr=0x06078A54 val=0x0 sz=4
pc=0x0602CF46 addr=0x0607892C val=0x0 sz=4
pc=0x0602CF50 addr=0x06078928 val=0xFFFFAAAB sz=4
pc=0x0602CF96 addr=0x06078960 val=0x0 sz=4
pc=0x0602CF98 addr=0x06078964 val=0x0 sz=4
pc=0x0602D05A addr=0x06078B58 val=0x18 sz=4
pc=0x0602D086 addr=0x06078930 val=0xFFFFAAAB sz=4
pc=0x0602D822 addr=0x0607890C val=0x3F90F sz=4
pc=0x0602D87E addr=0x060789E0 val=0x1A01 sz=4
pc=0x0602D88A addr=0x060789E8 val=0x0 sz=4
pc=0x0602D8CE addr=0x06078920 val=0xFFFFAAAB sz=4
pc=0x0602D8DE addr=0x06078938 val=0xFFEABEE9 sz=4
pc=0x0602D8E0 addr=0x0607893C val=0xFF72B034 sz=4
pc=0x0602D8FE addr=0x06078A8C val=0x3710C sz=4
pc=0x0602D902 addr=0x06078910 val=0xFFEE2FF5 sz=4
pc=0x0602D90E addr=0x06078A90 val=0xFFFE03EF sz=4
pc=0x0602D912 addr=0x06078918 val=0xFF70B423 sz=4
pc=0x0602EFAC addr=0x06078900 val=0x800000 sz=4
